勘定奉行：伝票区切,G/L Account,仕訳日,申請日,仕訳データ生成日,伝票No.,借方：勘定科目：会計連携項目,借方：補助科目：会計連携項目,,,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
,Vendor,仕訳日,申請日,仕訳データ生成日,伝票No.,,,貸方：勘定科目：会計連携項目,貸方：補助科目：会計連携項目,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
*,G/L Account,2025/03/31,2025/05/26,2025/06/02,APA-0000451,76900-10,,,,15917.00,NTD,VCT.1692G,10036,V-VC00048,APA-0000451 VicOne Corporate Credit Card Saas Subscription,,"Usage Breakdown

Compute Engine: NT$12,197.58
Networking: NT$2,811.74
Cloud Storage: NT$907.49",5224028806,VCT.1692G,"Item 1: Google Cloud Billing (2025/03/01-2025/03/31)
Item 2: Google Cloud Billing (2025/04/01-2025/04/30)"
,Vendor,2025/03/31,2025/05/26,2025/06/02,APA-0000451,,,31200-10,31200-10,15917.00,NTD,VCT.1692G,10036,V-VC00048,APA-0000451 VicOne Corporate Credit Card Saas Subscription,,"Usage Breakdown

Compute Engine: NT$12,197.58
Networking: NT$2,811.74
Cloud Storage: NT$907.49",5224028806,VCT.1692G,"Item 1: Google Cloud Billing (2025/03/01-2025/03/31)
Item 2: Google Cloud Billing (2025/04/01-2025/04/30)"
,G/L Account,2025/04/02,2025/05/29,2025/06/02,APA-0000463,76900-10,,,,321.94,R-USD,VCT.1692G,10039,V-VC00048,APA-0000463 VicOne Corporate Credit Card Saas Subscription,,"Testmo Enterprise with 25 users (Mar 2025, 20 days)",R25817,VCT.1697G,"Testmo Enterprise with 25 users (Mar 2025, 20 days)"
,Vendor,2025/04/02,2025/05/29,2025/06/02,APA-0000463,,,31200-10,31200-10,321.94,R-USD,VCT.1692G,10039,V-VC00048,APA-0000463 VicOne Corporate Credit Card Saas Subscription,,"Testmo Enterprise with 25 users (Mar 2025, 20 days)",R25817,VCT.1697G,"Testmo Enterprise with 25 users (Mar 2025, 20 days)"
,G/L Account,2025/04/30,2025/05/26,2025/06/02,APA-0000451,76900-10,,,,27447.00,NTD,VCT.1692G,10036,V-VC00048,APA-0000451 VicOne Corporate Credit Card Saas Subscription,,"Usage Breakdown

Compute Engine: NT$21,968.49
Networking: NT$4,044.95
Cloud Storage: NT$1,433.15
Artifact Registry: NT$0.18",5249798024,VCT.1692G,"Item 1: Google Cloud Billing (2025/03/01-2025/03/31)
Item 2: Google Cloud Billing (2025/04/01-2025/04/30)"
,Vendor,2025/04/30,2025/05/26,2025/06/02,APA-0000451,,,31200-10,31200-10,27447.00,NTD,VCT.1692G,10036,V-VC00048,APA-0000451 VicOne Corporate Credit Card Saas Subscription,,"Usage Breakdown

Compute Engine: NT$21,968.49
Networking: NT$4,044.95
Cloud Storage: NT$1,433.15
Artifact Registry: NT$0.18",5249798024,VCT.1692G,"Item 1: Google Cloud Billing (2025/03/01-2025/03/31)
Item 2: Google Cloud Billing (2025/04/01-2025/04/30)"
,G/L Account,2025/05/02,2025/05/23,2025/06/02,APA-0000401,75510-10,,,,6534.55,R-USD,VCA.1342G,10126,V-VC00048,APA-0000401 VicOne Corporate Credit Card Marketing Expense - Event - Online/Webinar,,AUTO IQ AUTOMOTIVE CYBERSECURITY SUMMIT September in Cali,20250502,VCA.1342G,Events
,Vendor,2025/05/02,2025/05/23,2025/06/02,APA-0000401,,,31200-10,31200-10,6534.55,R-USD,VCA.1342G,10126,V-VC00048,APA-0000401 VicOne Corporate Credit Card Marketing Expense - Event - Online/Webinar,,AUTO IQ AUTOMOTIVE CYBERSECURITY SUMMIT September in Cali,20250502,VCA.1342G,Events
,G/L Account,2025/05/05,2025/05/23,2025/06/02,APA-0000401,75510-10,,,,750.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000401 VicOne Corporate Credit Card Marketing Expense - Event - Online/Webinar,,AUTO ISAC Europe Summit May 6-8th Gothenburg Sweden,20250505,VCA.1342G,Events
,Vendor,2025/05/05,2025/05/23,2025/06/02,APA-0000401,,,31200-10,31200-10,750.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000401 VicOne Corporate Credit Card Marketing Expense - Event - Online/Webinar,,AUTO ISAC Europe Summit May 6-8th Gothenburg Sweden,20250505,VCA.1342G,Events
